area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
medication,Medication.code,nortriptyline 10 MG capsule,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,5674,Nortriptyline HCl Cap 10 MG,http://www.nlm.nih.gov/research/umls/rxnorm,7531,,dual-coding,yes,high,1:3 RxNorm fan-out for MEDICATION_ID 5674 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,nortriptyline 10 MG capsule,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,5674,Nortriptyline HCl Cap 10 MG,http://www.nlm.nih.gov/research/umls/rxnorm,198045,,dual-coding,yes,high,1:3 RxNorm fan-out for MEDICATION_ID 5674 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,nortriptyline 10 MG capsule,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,5674,Nortriptyline HCl Cap 10 MG,http://www.nlm.nih.gov/research/umls/rxnorm,203130,,dual-coding,yes,high,1:3 RxNorm fan-out for MEDICATION_ID 5674 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,lisinopril 10 MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,10449,Lisinopril Tab 10 MG,http://www.nlm.nih.gov/research/umls/rxnorm,29046,,dual-coding,yes,high,1:2 RxNorm fan-out for MEDICATION_ID 10449 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,lisinopril 10 MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,10449,Lisinopril Tab 10 MG,http://www.nlm.nih.gov/research/umls/rxnorm,314076,,dual-coding,yes,high,1:2 RxNorm fan-out for MEDICATION_ID 10449 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,9863,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,313002,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,1807627,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,1807630,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,1807631,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,1807632,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,1807633,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,1807634,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,1807639,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,sodium chloride,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,27838,Sodium Chloride IV Soln 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,2471089,,dual-coding,yes,high,1:10 RxNorm fan-out for MEDICATION_ID 27838 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,cyclobenzaprine 5 MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,35184,Cyclobenzaprine HCl Tab 5 MG,http://www.nlm.nih.gov/research/umls/rxnorm,21949,,dual-coding,yes,high,1:3 RxNorm fan-out for MEDICATION_ID 35184 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,cyclobenzaprine 5 MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,35184,Cyclobenzaprine HCl Tab 5 MG,http://www.nlm.nih.gov/research/umls/rxnorm,52101,,dual-coding,yes,high,1:3 RxNorm fan-out for MEDICATION_ID 35184 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,cyclobenzaprine 5 MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,35184,Cyclobenzaprine HCl Tab 5 MG,http://www.nlm.nih.gov/research/umls/rxnorm,828320,,dual-coding,yes,high,1:3 RxNorm fan-out for MEDICATION_ID 35184 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,Paxlovid (300/100) 20 x 150 MG & 10 x 100MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,163915,Nirmatrelvir Tab 20 x 150 MG & Ritonavir Tab 10 x 100 MG Pak,http://www.nlm.nih.gov/research/umls/rxnorm,85762,,dual-coding,yes,high,1:4 RxNorm fan-out for MEDICATION_ID 163915 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,Paxlovid (300/100) 20 x 150 MG & 10 x 100MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,163915,Nirmatrelvir Tab 20 x 150 MG & Ritonavir Tab 10 x 100 MG Pak,http://www.nlm.nih.gov/research/umls/rxnorm,2587892,,dual-coding,yes,high,1:4 RxNorm fan-out for MEDICATION_ID 163915 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
medication,Medication.code,Paxlovid (300/100) 20 x 150 MG & 10 x 100MG tablet,ORDER_MED,MEDICATION_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.698288,163915,Nirmatrelvir Tab 20 x 150 MG & Ritonavir Tab 10 x 100 MG Pak,http://www.nlm.nih.gov/research/umls/rxnorm,2587898,,dual-coding,yes,high,1:4 RxNorm fan-out for MEDICATION_ID 163915 (ingredient/SCD/SBD/pack levels); also non-standard ATC + urn:oid 6.253/6.68/6.162 drug-KB codes in same concept (not emitted),standard
