area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
smartdata,Observation.code,abdomen soft,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEAB0102,abdomen soft,http://snomed.info/sct,249543005,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMINAL - ABDOMEN SOFT"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,alert,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PENE0001,alert,http://snomed.info/sct,248234008,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - NEUROLOGICAL - LEVEL OF CONSCIOUSNESS - ALERT"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,atraumatic,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEHE0006,atraumatic,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - HENT - HEAD FINDINGS - ATRAUMATIC""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,bowel sounds normal,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEAB0400,bowel sounds normal,http://snomed.info/sct,163339006,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMINAL - BOWEL SOUNDS - BOWEL SOUNDS NORMAL"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,breath sounds normal,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEPU0200,breath sounds normal,http://snomed.info/sct,48348007,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - RESPIRATORY - BREATH SOUNDS - BREATH SOUNDS NORMAL"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,cervical adenopathy,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PELY0100,cervical adenopathy,http://snomed.info/sct,164147008,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - LYMPHATIC - CERVICAL ADENOPATHY"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,conjunctivae normal,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEEY0200,conjunctivae normal,http://snomed.info/sct,246875002,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - EYE EXAM - CONJUNCTIVAE - CONJUNCTIVAE NORMAL"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,distension,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEAB0108,distension,http://snomed.info/sct,60728008,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMINAL - DISTENSION"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,distressed,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PECN0007,distressed,http://snomed.info/sct,162718006,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - CONSTITUTIONAL - DISTRESSED"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,ear findings,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEHE0002,ear findings,http://snomed.info/sct,247234006,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - HENT - EAR FINDINGS"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
