area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
other,DocumentReference.type,Progress Notes,HNO_INFO,IP_NOTE_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.737880.5010,1,Progress Notes,http://loinc.org,11506-3,Progress note,dual-coding,yes,high,"EHI ships the note-type display in HNO_INFO.IP_NOTE_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding",standard
other,DocumentReference.type,Consults,HNO_INFO,IP_NOTE_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.737880.5010,2,Consults,http://loinc.org,11488-4,Consult note,dual-coding,yes,high,"EHI ships the note-type display in HNO_INFO.IP_NOTE_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding",standard
other,DocumentReference.type,Telephone Encounter,HNO_INFO,IP_NOTE_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.737880.5010,36,Telephone Encounter,http://loinc.org,34748-4,Telephone encounter Note,dual-coding,yes,high,"EHI ships the note-type display in HNO_INFO.IP_NOTE_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding; 1:n note-type->LOINC fan-out",standard
other,DocumentReference.type,Telephone Encounter,HNO_INFO,IP_NOTE_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.737880.5010,36,Telephone Encounter,http://loinc.org,34109-9,Note,dual-coding,yes,high,"EHI ships the note-type display in HNO_INFO.IP_NOTE_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding; 1:n note-type->LOINC fan-out",standard
other,DocumentReference.type,Patient Instructions,HNO_INFO,IP_NOTE_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.737880.5010,37,Patient Instructions,http://loinc.org,69730-0,Instructions,dual-coding,yes,high,"EHI ships the note-type display in HNO_INFO.IP_NOTE_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding; 1:n note-type->LOINC fan-out",standard
other,DocumentReference.type,Patient Instructions,HNO_INFO,IP_NOTE_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.737880.5010,37,Patient Instructions,http://loinc.org,74213-0,Discharge instructions,dual-coding,yes,high,"EHI ships the note-type display in HNO_INFO.IP_NOTE_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding; 1:n note-type->LOINC fan-out",standard
other,DocumentReference.type,Diagnostic imaging study,,,,,,http://loinc.org,18748-4,Diagnostic imaging study,dual-coding,no,low,LOINC-only document type in target (no Epic-local note-type coding in the array); residual gap,standard
other,DocumentReference.type,Encounter Summary,,,,,,http://loinc.org,11506-3,,dual-coding,no,low,LOINC-only document type in target (no Epic-local note-type coding in the array); residual gap,standard
other,DocumentReference.type,Patient Summary,,,,,,http://loinc.org,34133-9,,dual-coding,no,low,LOINC-only document type in target (no Epic-local note-type coding in the array); residual gap,standard
other,Specimen.type,Stool,ORDER_PROC,SPECIMEN_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.798268.300,54,Stool,http://snomed.info/sct,119339001,Stool specimen (specimen),dual-coding,yes,high,"EHI ships specimen-type display in ORDER_PROC.SPECIMEN_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding",standard
other,Specimen.type,Blood,ORDER_PROC,SPECIMEN_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.798268.300,188,Blood,http://snomed.info/sct,119297000,Blood specimen (specimen),dual-coding,yes,high,"EHI ships specimen-type display in ORDER_PROC.SPECIMEN_TYPE_C_NAME (verbatim), not the numeric _C; numeric code taken from target coding; EHI also ships this SNOMED directly in SPEC_TYPE_SNOMED.TYPE_SNOMED_CT",standard
other,Specimen.type,Serum,ORDER_PROC,SPECIMEN_TYPE_C_NAME,urn:oid:1.2.840.114350.1.13.283.2.7.4.798268.300,100230,Serum,http://snomed.info/sct,,,dual-coding,yes,low,Epic specimen-type present but no SNOMED coding populated in target for this type (empty snomed.info/sct coding); no standard code to attach,standard
other,Coverage.type,BLUE CROSS/BLUE SHIELD,COVERAGE,PAYOR_ID,Epic Payor master (COVERAGE.PAYOR_ID),1302,Blue Cross of Wisconsin,https://nahdo.org/sopt,6,BLUE CROSS/BLUE SHIELD,content-match,yes,medium,NAHDO Source-of-Payment-Typology is the only standard coding on Coverage.type (no Epic-local coding in the array); FHIR server derives SOPT from the payor/financial-class. Anchored to payor master key COVERAGE.PAYOR_ID; SOPT not derivable from EHI alone,standard
other,Encounter.type,PR OFFICE/OUTPATIENT ESTABLISHED SF MDM 10 MIN,,,,,,http://www.ama-assn.org/go/cpt,99212,PR OFFICE/OUTPATIENT ESTABLISHED SF MDM 10 MIN,content-match,no,low,"CPT E/M code is a separate type[] entry (the per-encounter charge), not a translation of the Epic visit type; this code does not appear on any claim line in the EHI (INV_CLM_LN_ADDL.PROC_OR_REV_CODE). Residual gap. Encounter.class is derivable not stored",standard
